date;time;species;infestation;replicate;specimen;wet_wgt;dry_wgt;inf_size
02/05/2021;30;Scutellastra granularis;non infested;3;2;1771,40;1212,00;27,00
02/05/2021;30;Scutellastra granularis;non infested;3;3;1908,90;1203,80;23,00
02/05/2021;30;Scutellastra granularis;infested;3;1;2108,20;1256,60;24,00
02/05/2021;30;Scutellastra granularis;infested;3;2;1976,50;1205,20;25,00
02/05/2021;30;Scutellastra granularis;infested;3;3;2428,00;1576,30;23,00
02/05/2021;60;Scutellastra granularis;non infested;1;1;2273,70;1387,60;27,00
02/05/2021;60;Scutellastra granularis;non infested;1;2;1217,90;717,60;19,00
02/05/2021;60;Scutellastra granularis;non infested;1;3;979,20;657,50;20,00
02/05/2021;60;Scutellastra granularis;infested;1;1;3779,50;2374,60;28,00
02/05/2021;60;Scutellastra granularis;infested;1;2;807,60;541,60;20,00
02/05/2021;60;Scutellastra granularis;infested;1;3;1162,20;751,00;22,00
02/05/2021;60;Scutellastra granularis;non infested;2;1;596,90;372,30;18,00
02/05/2021;60;Scutellastra granularis;non infested;2;2;2372,00;1406,60;25,00
02/05/2021;60;Scutellastra granularis;non infested;2;3;1575,70;971,10;22,00
02/05/2021;60;Scutellastra granularis;infested;2;1;4698,00;2761,20;31,00
02/05/2021;60;Scutellastra granularis;infested;2;2;903,10;651,00;22,00
02/05/2021;60;Scutellastra granularis;infested;2;3;1782,90;1163,70;24,00
02/05/2021;60;Scutellastra granularis;non infested;3;1;1551,90;898,70;25,00
02/05/2021;60;Scutellastra granularis;non infested;3;2;1684,90;965,40;21,00
02/05/2021;60;Scutellastra granularis;non infested;3;3;2107,30;1388,00;26,00
02/05/2021;60;Scutellastra granularis;infested;3;1;1915,60;1187,60;25,00
02/05/2021;60;Scutellastra granularis;infested;3;2;1524,60;865,60;23,00
02/05/2021;60;Scutellastra granularis;infested;3;3;581,30;321,20;15,00
02/05/2021;90;Scutellastra granularis;non infested;1;1;895,00;619,40;21,00
02/05/2021;90;Scutellastra granularis;non infested;1;2;614,60;394,20;17,00
02/05/2021;90;Scutellastra granularis;non infested;1;3;2022,50;1347,00;24,00
02/05/2021;90;Scutellastra granularis;infested;1;1;725,70;504,60;21,00
02/05/2021;90;Scutellastra granularis;infested;1;2;897,80;566,40;19,00
02/05/2021;90;Scutellastra granularis;infested;1;3;1808,80;1064,40;27,00
02/05/2021;90;Scutellastra granularis;non infested;2;1;1029,70;638,90;22,00
02/05/2021;90;Scutellastra granularis;non infested;2;2;635,40;402,50;19,00
02/05/2021;90;Scutellastra granularis;non infested;2;3;1778,20;1135,00;26,00
02/05/2021;90;Scutellastra granularis;infested;2;1;748,80;471,60;19,00
02/05/2021;90;Scutellastra granularis;infested;2;2;1920,90;1101,80;24,00
02/05/2021;90;Scutellastra granularis;infested;2;3;1361,90;921,20;22,00
02/05/2021;90;Scutellastra granularis;non infested;3;1;865,40;569,40;20,00
02/05/2021;90;Scutellastra granularis;non infested;3;2;666,50;457,40;19,00
02/05/2021;90;Scutellastra granularis;non infested;3;3;1291,80;783,90;22,00
02/05/2021;90;Scutellastra granularis;infested;3;1;1883,10;1161,00;25,00
02/05/2021;90;Scutellastra granularis;infested;3;2;1264,00;795,70;23,00
02/05/2021;90;Scutellastra granularis;infested;3;3;860,40;526,70;19,00
